pair_id	han_sentence	viet_sentence
HVB_001_0000	古南交，周号越裳，秦名象郡。	Đất Nam-Giao xưa, nhà Chu gọi là Việt-Thường, nhà Tần đặt tên là Tượng-Quận.
HVB_001_0001	秦末，南海尉赵佗击并之，自立国，僭号。	Đến cuối nhà Tấn, Nam-Hải-Uý là Triệu-Đà đánh tóm thâm đất, tự lập làm một nước riêng và tiếm xưng vương-hiệu.
HVB_001_0002	今安南居九郡之内，曰交址、九真、日南是也。	Nước An-nam ngày nay tức là 3 quận Giao-Chỉ, Cửu-Chân và Nhật-Nam ở trong chín quận ấy.
HVB_001_0003	后历朝沿革，郡县不一。	Về sau các triều đại kế tiếp, chế-độ quận huyện không nhứt định.
HVB_001_0004	五季间，爱州人吴权领交址，后丁、黎、李、陈相继篡夺。	Qua đời Ngũ-Đại (907-959), người đất Ái-Châu là Ngô-Quyền, chiếm giữ quận Giao-Chỉ; đời sau các nhà Đinh, Lê, Lý, Trần, nối nhau tranh quyền, đều được nhà Tống phong vương tước.
HVB_001_0005	宋因封王爵，官制刑政稍效中州。	Quan-chế, hình-pháp và hành-chính, ít nhiều học của Trung Hoa
HVB_001_0006	其郡邑或仍或革，姑概存之。	còn về quận-ấp hoặc theo cũ, hoặc đổi mới, nay lấy đại-khái mà chép lại.
HVB_001_0007	大罗城路，古交址，汉仍之。	Đại-La Thành-Lộ: xưa là nước Giao-Chỉ, đời nhà Hán để như cũ
HVB_001_0008	唐置安南都护府，其城在泸江西岸。	nhà Đường đặt làm An-nam đô-hộ-phủ, thành phủ ở tại phía tây bờ sông Lư-Giang
HVB_001_0009	唐张伯义始筑，张舟、高骈继增修之。	Trương-Bá-Nghi đời Đường bắt đầu xây thành ấy, Trương-Chu, Cao-Biền tiếp-tục sửa sang đắp thêm.
HVB_001_0010	真宗时，李公蕴在此建国。	Trong thời Chân-Tông nhà Tống, Lý-Công-Uẩn người quận ấy, kiến-quốc tại đây.
HVB_001_0011	陈继李，以其属增龙兴、天长、长安。	Đến nhà Trần nối theo nhà Lý lấy đất ấy đạt thêm ba phủ nữa: Long-Hưng, Thiên-Trường và Trường-An.
HVB_001_0012	龙兴府，旧多冈乡。	Long-Hưng-Phủ: tên cũ là Đa-Cương-Hương.
HVB_001_0013	陈祖微时，夜过溪桥，既渡，四顾桥不见矣。	Tổ-tiên họ Trần lúc còn hàn-vi, ban đêm đi qua một cái cầu khe, khi qua rồi, ngoảnh lại, không thấy cầu nữa.
HVB_001_0014	未几，陈氏有国，人号其水曰龙溪，改多冈为龙兴。	Chẳng bao lâu, họ Trần được nước, người ta gọi khe ấy là Long-Khê, nên đổi tên Đa-Cương làm Long-Hưng.
HVB_001_0015	天长府，旧多塞乡，陈祖所生地。	Thiên-Trường-Phủ: tên cũ là Tức-Mặc-Hương, nơi phát-đích họ Trần.
HVB_001_0016	及其有国，建行宫于此，岁一至，示不忘本。	Đến khi họ Trần được nước, xây một hành-cung tại đó, mỗi năm đến một lần, để tỏ ra là không bỏ quân chỗ phát-tích của ông bà
HVB_001_0017	更名曰天长府，潮水绕城，岸边花木香气袭人，画船往来，类仙境也。	rồi đổi tên làm Thiên-Trường-Phủ, chỗ ấy có nước thuỷ-triều chảy quanh thành, hai bên bờ mọc nhiều cây hoa, khí thơm ngát người, hoạ-thuyền qua lại, giống như cảnh tiên vậy.
HVB_001_0018	长安府，本华闾峒，丁部领所生地。	Trường-An-Phủ: vốn là động Hoa-Lư; chỗ sinh ra Đinh-Bộ-Lĩnh
HVB_001_0019	五季末，丁氏立国于此。	cuối đời Ngũ-Quý, họ Đinh lập quốc tại đó.
HVB_001_0020	归化江路，接西南界。	Qui-Hoá-Giang-Lộ: tiếp với biên-giới Vân-Nam.
HVB_001_0021	宣化江路，接特麻道。	Tuyên-Hoá-Giang-Lộ: tiếp giáp đạo Đăc-Ma.
HVB_001_0022	陀江路，接金齿界。	Đà-Giang-Lộ: tiếp với địa-giới Kim-Xỉ.
HVB_001_0023	谅州江路，接左右两界。	Lạng-Châu-Giang-Lộ: tiếp với tả-giang và hữu-giang.
HVB_001_0024	北江路在罗城东岸，泸江分通于海。	Bắc-Giang-Lộ: ở trên đông-ngạn của La-Thành, nước sông Lư-Giang thông với biển
HVB_001_0025	江有十桥，皆杰丽如月。	trên sông có bắc 10 cái cầu đồ sộ và đẹp đẽ.
HVB_001_0026	江路、南栅江路、大黄江路、烘路、快路。	Như-Nguyệt-Giang-Lộ. Nam-Sách-Giang-Lộ. Đại-Hoàng Giang-Lộ. Hồng-Lộ. Khoái-Lộ.
HVB_001_0027	州皆接广西云南界，虽名州县，其实洞也。	Các châu đều tiếp địa-giới Quảng-Tây và Vân-Nam, tuy gọi là châu huyện, nhưng sự thật là động vậy.
